MSMEG_0688;Rv0337c;;;;;Rv0337c;1.000
MSMEG_0691;Rv0339c;;;;;Rv0339c;1.000
;Rv0347;;;;;Rv0347;1.000
MSMEG_0709;Rv0350;MSMEG_0709;-1;MSMEG_0709;1;Rv0350;1.000
MSMEG_0710;Rv0351;;;;;Rv0351;1.000
MSMEG_0759;Rv0357c;MSMEG_0759;2;;;Rv0357c;2.000
;Rv0379;;;;;Rv0379;1.000
MSMEG_0736;Rv0383c;;;;;Rv0383c;1.000
MSMEG_0732;Rv0384c;;;MSMEG_0732;1;Rv0384c;1.000
;Rv0400c;;;;;Rv0400c;1.000
MSMEG_0775;Rv0406c;;;;;Rv0406c;1.000
MSMEG_0784;Rv0409;;;;;Rv0409;1.000
MSMEG_0786;Rv0410c;;;;;Rv0410c;1.000
MSMEG_0793;Rv0417;MSMEG_0793;1;MSMEG_0793;1;Rv0417;1.000
MSMEG_0826;Rv0423c;;;;;Rv0423c;1.000
;Rv0425c;;;;;Rv0425c;1.000
MSMEG_0834;Rv0431;;;;;Rv0431;1.000
MSMEG_0861;Rv0437c;;;;;Rv0437c;1.000
MSMEG_0877;Rv0439c;;;MSMEG_0877;1;Rv0439c;1.000
MSMEG_0880;Rv0440;MSMEG_0880;2;MSMEG_0880;2;Rv0440;2.000
;Rv0458;;;;;Rv0458;1.000
MSMEG_0903;Rv0462;MSMEG_0903;1;MSMEG_0903;1;Rv0462;1.000
MSMEG_0905;Rv0464c;;;;;Rv0464c;1.000
MSMEG_0909;Rv0466;MSMEG_0909;1;MSMEG_0909;1;Rv0466;1.000
MSMEG_0911;Rv0467;MSMEG_0911;1;;;Rv0467;2.000
MSMEG_0913;Rv0469;;;;;Rv0469;1.000
;Rv0470c;;;;;Rv0470c;1.000
MSMEG_0916;Rv0472c;;;;;Rv0472c;1.000
;Rv0493c;;;;;Rv0493c;1.000
MSMEG_0938;Rv0495c;;;;;Rv0495c;1.000
MSMEG_0943;Rv0500;;;MSMEG_0943;1;Rv0500;1.000
MSMEG_1205;Rv0503c;;;;;Rv0503c;1.000
MSMEG_0952;Rv0509;;;;;Rv0509;1.000
;Rv0511;;;;;Rv0511;1.000
MSMEG_0956;Rv0512;;;;;Rv0512;1.000
MSMEG_0959;Rv0513;;;;;Rv0513;1.000
MSMEG_0970;Rv0525;;;;;Rv0525;2.000
MSMEG_0975;Rv0530;;;;;Rv0530;1.000
MSMEG_0990;Rv0535;;;;;Rv0535;1.000
MSMEG_1103;Rv0553;;;;;Rv0553;1.000
MSMEG_1109;Rv0555;;;;;Rv0555;1.000
MSMEG_1165;Rv0566c;;;MSMEG_1165;1;Rv0566c;1.000
;Rv0570;;;;;Rv0570;1.000
;Rv0576;;;;;Rv0576;1.000
;Rv0577;;;;;Rv0577;1.000
MSMEG_1334;Rv0634c;MSMEG_1334;-1;MSMEG_1334;1;Rv0634c;1.000
MSMEG_1340;Rv0635;;;;;Rv0635;1.000
MSMEG_1342;Rv0637;;;;;Rv0637;1.000
MSMEG_1346;Rv0640;MSMEG_1346;2;;;Rv0640;2.000
MSMEG_1347;Rv0641;MSMEG_1347;1;MSMEG_1347;1;Rv0641;1.000
;Rv0642c;;;;;Rv0642c;1.000
;Rv0643c;;;;;Rv0643c;1.000
;Rv0644c;;;;;Rv0644c;1.000
MSMEG_1364;Rv0651;;;MSMEG_1364;1;Rv0651;1.000
MSMEG_1365;Rv0652;MSMEG_1365;-1;;;Rv0652;1.000
;Rv0654;;;;;Rv0654;1.000
MSMEG_1366;Rv0655;;;;;Rv0655;1.000
MSMEG_1368;Rv0668;MSMEG_1368;-1;MSMEG_1368;1;Rv0668;1.000
;Rv0669c;;;;;Rv0669c;1.000
MSMEG_1383;Rv0670;;;MSMEG_1383;1;Rv0670;1.000
MSMEG_1387;Rv0672;MSMEG_1387;-1;MSMEG_1387;1;Rv0672;1.000
MSMEG_1397;Rv0681;MSMEG_1397;-1;;;Rv0681;1.000
;Rv0684;;;;;Rv0684;2.000
MSMEG_1401;Rv0685;MSMEG_1401;1;MSMEG_1401;2;Rv0685;1.000
MSMEG_1410;Rv0687;;;;;Rv0687;1.000
;Rv0690c;;;;;Rv0690c;1.000
MSMEG_1424;Rv0694;;;;;Rv0694;1.000
MSMEG_1435;Rv0700;;;MSMEG_1435;1;Rv0700;1.000
MSMEG_1437;Rv0702;MSMEG_1437;1;MSMEG_1437;1;Rv0702;1.000
MSMEG_1442;Rv0707;MSMEG_1442;-1;MSMEG_1442;1;Rv0707;1.000
MSMEG_1443;Rv0708;MSMEG_1443;-1;MSMEG_1443;1;Rv0708;1.000
MSMEG_1445;Rv0710;MSMEG_1445;2;MSMEG_1445;1;Rv0710;1.000
